RNum,Type,Dealer Name,Phone,Address
42,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Serpong,"JL. Raya Serpong KM. 7 No. 32 , Tangerang Selatan",021-5397689
43,"Penjualan,Servis dan Suku Cadang,AC TYPE,Authorized Body &amp; Paint",Hyundai BSD City,"Jl. BSD Grand Boulevard Utara Kavling Commercial De Park Lot II. 18A, BSD City Tangerang",021-53198000
44,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Summarecon Mall Serpong,"Summarecon Mal Serpong Unit DGF, Jalan Gading Serpong Boulevard, Pakulon Barat, Kec. Kelapa Dua, Tangerang, Banten",021-59992888
45,Penjualan,Hyundai Supermal Karawaci,"Supermal Karawaci (LG Unit 48), Jl. Boulevard Diponegoro No.105, Klp. Dua, Kec. Klp. Dua, Tangerang, Banten",021-54211549
46,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Cibinog,"Jl. Raya Jakarta - Bogor, No.Km 47.3, Nanggewer, Kec. Cibinong Kab. Bogor, Provinsi Jawa Barat, Desa/Kelurahan Nanggewer",021-8758828
47,"Penjualan,Servis dan Suku Cadang,AC TYPE,Authorized Body &amp; Paint",Hyundai Cikarang,"Jl. Raya Industri Cikarang No. 80 RT/RW 003/06, Desa Pasir Gombong, Kec. Cikarang Utara, Kab. Bekasi, Jawa Barat",021-89383949
48,"Penjualan,AC TYPE",Hyundai Mal Lippo Cikarang,"Mal Lippo Cikarang Lt. Ground Floor 28E-28F, Jl. MH Thamrin Lippo Cikarang, Bekasi ",0811-60359000
49,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Sholeh Iskandar,"Jl. Sholeh Iskandar Km. 8, Cibadak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat",0251-7542888
50,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Cikupa,"Jl. Raya Serang KM 19.2, Cikupa, Kab. Tangerang, Banten",021-59664440
51,"Penjualan,AC TYPE",Hyundai AEON Mall Sentul City,"AEON Mall Sentul City G Unit 56, Jl. MH. Thamrin, Citaringgul, Kec. Babakan Madang, Bogor, Jawa Barat",021-39731161
52,"Penjualan,Servis dan Suku Cadang,AC TYPE,Authorized Body &amp; Paint",Hyundai Tajur,"Jl. Raya Tajur No. 91, RT 05 / RW 04, Genteng, Kec. Bogor Sel., Kota Bogor, Jawa Barat",0251-8352282
53,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Karawang,"Jl. Arteri Galuh Mas Raya, Karawang Barat, Jawa Barat Samping Hotel Mercure",0811-1077886
54,"Penjualan,AC TYPE",Hyundai Purwakarta,"Jl. Veteran No. 247 RT 001/RW 02, Kel. Ciseureuh, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat",0812-88887655
55,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Cianjur,"Jl. Raya Bandung No.115, Muka. Kec.Cianjur, Kabupaten Cianjur, Jawa Barat",0811-22331212
56,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Serang,"Jl. Raya Serang Pandeglang Km 5,Kel.Tembong, Kec.Cikoco, Kota Serang, Banten",0254-7916386
57,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Sukabumi,"Jl. Pelabuhan II No.575, Cipagenah, Kec. Lembursitu, Kota Sukabumi, Jawa Barat",0266-6244065
58,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Cilegon,"Jl. Raya Serang No. 2, Kel. Desa Kedaleman, Kec. Cibeber, Kota Cilegon",0254-7879392
59,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Padalarang,"Jl. Raya Padalarang No. 459, Kel. Kertajaya, Kec. Padalarang, Kab. Bandung Barat, Jawa Barat",022-86800451
60,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Pasteur,"Jl. DR. Djunjunan No. 165 Kel. Husen Sastranegara, Kec. Cicendo, Kota Bandung",022-20598888
61,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Cihampelas,"Jl. Cihampelas No. 6 , Bandung",022-4265555
62,Appointed Body &amp; Paint,Mentari Autohaus,"Jl. Soekarno Hatta No.250, Bandung",022-5431515
63,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Leuwipanjang,"Jl. Soekarno Hatta No. 337A, Kebon Lega, Bonjongloa Kidul, Bandung",022-5223388
64,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Ahmad Yani,"Jl. Jendral Ahmad Yani No.253, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat",022-7215952
65,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Soekarno Hatta,"Jl. Soekarno Hatta no. 625 , Bandung",022-73512999
66,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Rancaekek,"Jl. Bojongloa RT.02/RW.01, Bojongloa Rancaekek, Kab. Bandung",022-7799399
67,Penjualan,Hyundai Garut,"Jl. Otista No. 275, Sukagalih, Kec. Tarogong Kidul, Kabupaten Garut",0262-2546810
68,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Indramayu,"Jl. Gatot Subroto No.10, Karangmalang, Indramayu, Jawa Barat",0234-7157080
69,Appointed Body &amp; Paint,Putra Mandiri,"Jl. R. Ryacudu No.8, Way Dadi, Kec. Sukarame, Kota Bandar Lampung",0721-773064
70,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Cirebon,"Jl. Brigjen Dharsono No.8 , Cirebon",0231-231030
71,Appointed Body &amp; Paint,Mulya Prutra,"Jl. Brigjend. Dharsono No.8, Cirebon",0231-231030
72,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Tasikmalaya,"Jl. KHZ. Mustofa No.355, Tugujaya, Kec. Cihideung, Tasikmalaya, Jawa Barat",0265-5308014
73,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Lampung,"Jl. ZA. Pagar Alam No. 3, Labuhan Ratu, Kec. Kedaton, Bandar Lampung",0721-780800
74,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Kalijaga,"Jl. Kalijaga No. 117, Pegambiran, Kec. Lemahwungkuk, Kota Cirebon, Jawa Barat",0231-210060
75,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Tegal,"Jl. Kolonel Sugiono No. 160, Kemandungan, Kec. Tegal Bar., Kota Tegal, Jawa Tengah",0283-4539333
76,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Purwokerto,"Jl. Gerilya No.52, Karanganyar, Purwokerto Kulon, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah",0281-7781000
77,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Batang,"Jl. Jenderal Sudirman No. 254A, Kauman, Kec. Batang, Kendal, Jawa Tengah",0283-4533434
78,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Magelang,"Jl. Jendral Sudirman No. 16, Kel. Tidar Selatan, Kec. Magelang Selatan, Kota Magelag, Jawa Tengah",0293-2941122
79,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Puri Anjasmoro,"Jl. Madukoro Raya No. 4-5, Tawangsari, Kec. Semarang Bar, Semarang",024-7610088
80,Appointed Body &amp; Paint,Titanium,"Jl. Puspowarno Tengah I No.3 - 5, Salamanmloyo, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50149",024-7613386
81,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Setiabudi,"Jl. Setiabudi No. 140, Kec. Banyumanik., Kel. Srondol Kulon, Kota Semarang, Jawa Tengah",0852-22370909
82,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Raden Patah,"Jl. Raden Patah No. 207/209, Rejomulyo, Kec. Semarang Tim., Kota Semarang, Jawa Tengah",024-76454321
83,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Mlati,"Jl. Magelang KM 5.7, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta",0274-563356
84,Appointed Body &amp; Paint,Grand Star,"JL Palagan Tentara Pelajar, Km 7/8, Caturharjo, Sleman, Karang Moko, Sariharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta",0
85,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Veteran,"Graha Maju Motor, Jl Rasyad Nawawi No.505, Palembang",0711-363168
86,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Soetta,"Jl. Soekarno Hatta No. 888, Talang Klp., Kec.Ilir Bar. I, Kota Palembang, Sumatera Selatan",0711-5563888
87,Appointed Body &amp; Paint,Tekno Palembang,"Jl. Kolonel H. Burlian KM 6.5, Suka Bangun, Sukarami, Palembang",0711-7449119
88,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Adisucipto,"Jl. Laksda Adisucipto Km. 9, Yogyakarta",0274-484104
89,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Kudus,"Desa Jati Wetan, Desa/Kel.Jati Wetan. Kec. Jati. Kab Kudus, Jawa Tengah",02912921751
90,"Penjualan,Servis dan Suku Cadang,AC TYPE",Hyundai Bangka,"Jl. Soekarno Hatta/Koba Km. 7 Beluluk RT/RW 04/00, Pangkalan Baru, Bangka Tengah, Bangka Belitung",0717-9119999
